Score Distribution,2000,2003,2006,2009,2012,2015
PISA: Distribution of Reading Scores: 5th Percentile Score,301.0,293.18958,279.8112418,305.05109980000003,310.28638,281.4991
PISA: Distribution of Reading Scores: 10th Percentile Score,332.524,321.7274,312.22260730000005,330.7443192,340.5268,307.7458
PISA: Distribution of Reading Scores: 25th Percentile Score,380.86199999999997,366.00898,362.6490545,372.5502818,388.6845,353.7014
PISA: Distribution of Reading Scores: 50th Percentile Score,430.6838733,419.9148291,416.75176469999997,421.3744142,441.21993430000003,407.4623
PISA: Distribution of Reading Scores: 75th Percentile Score,482.15,471.63356,472.48057639999996,468.9282858,494.28724000000005,462.6166
PISA: Distribution of Reading Scores: 90th Percentile Score,526.19,520.2719999999999,522.2921691,513.6490638,541.24038,513.9836
PISA: Distribution of Reading Scores: 95th Percentile Score,555.0,549.747,549.4812,541.7910016,568.9683,543.3804
