Score Distribution,2000,2003,2006,2009,2012,2015
PISA: Distribution of Science Scores: 5th Percentile Score,315.0,302.81722,300.08890360000004,296.6430436,322.54756000000003,301.1196
PISA: Distribution of Science Scores: 10th Percentile Score,343.0,329.25246,325.3962432,325.848564,348.5826,324.3027
PISA: Distribution of Science Scores: 25th Percentile Score,386.0,373.38982000000004,368.4205857,372.5848564,392.24168,365.1357
PISA: Distribution of Science Scores: 50th Percentile Score,436.3785367,429.06037810000004,421.0114694,425.29628489999993,443.99993509999996,416.0545
PISA: Distribution of Science Scores: 75th Percentile Score,485.0,480.47434000000004,471.3097478,477.02349869999995,493.93882,472.8942
PISA: Distribution of Science Scores: 90th Percentile Score,535.0,536.84888,524.2556116999999,527.3032451,543.69638,527.6366
PISA: Distribution of Science Scores: 95th Percentile Score,569.0,570.92786,553.5352899000001,559.1010817000001,574.7295799999999,559.4224
