Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,THA,PISA: Distribution of Reading Scores: 90th Percentile Score,LO.PISA.REA.P90,526.19,,,520.272,,,522.2921691,,,513.6490638,,,541.24038,,,513.9836
Thailand,THA,PISA: Distribution of Reading Scores: 95th Percentile Score,LO.PISA.REA.P95,555,,,549.747,,,549.4812,,,541.7910016,,,568.9683,,,543.3804
Thailand,THA,PISA: Distribution of Science Scores: 10th Percentile Score,LO.PISA.SCI.P10,343,,,329.25246,,,325.3962432,,,325.848564,,,348.5826,,,324.3027
Thailand,THA,PISA: Distribution of Science Scores: 25th Percentile Score,LO.PISA.SCI.P25,386,,,373.38982,,,368.4205857,,,372.5848564,,,392.24168,,,365.1357
Thailand,THA,PISA: Distribution of Science Scores: 50th Percentile Score,LO.PISA.SCI.P50,436.3785367,,,429.0603781,,,421.0114694,,,425.2962849,,,443.9999351,,,416.0545
Thailand,THA,PISA: Distribution of Science Scores: 5th Percentile Score,LO.PISA.SCI.P05,315,,,302.81722,,,300.0889036,,,296.6430436,,,322.54756,,,301.1196
Thailand,THA,PISA: Distribution of Science Scores: 75th Percentile Score,LO.PISA.SCI.P75,485,,,480.47434,,,471.3097478,,,477.0234987,,,493.93882,,,472.8942
Thailand,THA,PISA: Distribution of Science Scores: 90th Percentile Score,LO.PISA.SCI.P90,535,,,536.84888,,,524.2556117,,,527.3032451,,,543.69638,,,527.6366
Thailand,THA,PISA: Distribution of Science Scores: 95th Percentile Score,LO.PISA.SCI.P95,569,,,570.92786,,,553.5352899,,,559.1010817,,,574.72958,,,559.4224
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0.FE,,,,22.55301346,,,21.56375633,,,21.72586413,,,16.95360104,,,22.9855489
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1.FE,,,,30.57452586,,,29.76207047,,,31.69880698,,,29.38225945,,,30.10749347
Thailand,THA,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2.FE,,,,26.13623021,,,27.88487546,,,27.63227592,,,28.86476991,,,26.91426149
