Mean Score,2000,2003,2006,2009,2012,2015
PISA: Mean performance on the science scale. Both,436.3785367,429.06037810000004,421.0114694,425.29628489999993,443.99993509999996,421.3373
PISA: Mean performance on the science scale. Female,441.67969220000003,432.67473839999997,428.1241186000001,430.95077639999994,452.49148110000004,425.25179860000003
PISA: Mean performance on the science scale. Male,428.61070920000003,424.6546818,411.41553250000004,417.8773032,433.2023638,416.2207376
