PISA: Distribution of Science Scores: 5th Percentile Score,PISA: Distribution of Science Scores: 10th Percentile Score,PISA: Distribution of Science Scores: 25th Percentile Score,PISA: Distribution of Science Scores: 50th Percentile Score,PISA: Distribution of Science Scores: 75th Percentile Score,PISA: Distribution of Science Scores: 90th Percentile Score,PISA: Distribution of Science Scores: 95th Percentile Score
315.0,343.0,386.0,436.3785367,485.0,535.0,569.0
302.81722,329.25246,373.38982000000004,429.06037810000004,480.47434000000004,536.84888,570.92786
300.08890360000004,325.3962432,368.4205857,421.0114694,471.3097478,524.2556116999999,553.5352899000001
296.6430436,325.848564,372.5848564,425.29628489999993,477.02349869999995,527.3032451,559.1010817000001
322.54756000000003,348.5826,392.24168,443.99993509999996,493.93882,543.69638,574.7295799999999
301.1196,324.3027,365.1357,416.0545,472.8942,527.6366,559.4224
