Mean Score,2000,2003,2006,2009,2012,2015
PISA: Mean performance on the reading scale. Both,430.6838733,419.9148291,416.75176469999997,421.3744142,441.21993430000003,409.1301
PISA: Mean performance on the reading scale. Female,447.63953039999996,439.16775599999994,439.86654910000004,437.65598700000004,465.4289405,422.55325980000003
PISA: Mean performance on the reading scale. Male,406.4606893,396.4466233,385.5667582,400.0121584,410.4365565,391.584784
